GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Basic Features,org.revapi.basic,AbstractDifferenceReferringTransform,18,149,4,14,7,34,6,12,2,7
Basic Features,org.revapi.basic,RegexElementMatcher.new ElementMatcher.CompiledRecipe() {...},0,17,0,0,0,2,0,2,0,2
Basic Features,org.revapi.basic,DifferencesTransform.DifferenceRecipe,14,121,1,5,1,18,1,5,0,3
Basic Features,org.revapi.basic,RegexElementMatcher.PatternMatch,0,18,0,0,0,5,0,2,0,2
Basic Features,org.revapi.basic,SemverVersion,21,93,8,12,2,23,8,5,0,3
Basic Features,org.revapi.basic,VersionsTransform.VersionChange,0,64,0,0,0,2,0,1,0,1
Basic Features,org.revapi.basic,IgnoreDifferenceTransform,9,37,1,1,1,11,2,5,1,5
Basic Features,org.revapi.basic,AbstractDifferenceReferringTransform.new DifferenceTransform.TraversalTracker() {...},0,64,0,6,0,14,0,7,0,4
Basic Features,org.revapi.basic,ConfigurableElementFilter,30,327,3,47,5,70,5,33,2,11
Basic Features,org.revapi.basic,VersionsTransform.DifferenceModification,29,275,4,34,7,73,4,20,0,5
Basic Features,org.revapi.basic,RegexElementMatcher,7,12,0,0,5,3,3,3,3,3
Basic Features,org.revapi.basic,ExactElementMatcher.new ElementMatcher.CompiledRecipe() {...},0,16,0,0,0,2,0,2,0,2
Basic Features,org.revapi.basic,VersionsTransform,187,534,52,59,38,106,46,26,2,12
Basic Features,org.revapi.basic,VersionsTransform.TextModification,8,60,2,12,2,16,2,7,0,2
Basic Features,org.revapi.basic,DifferencesTransform.DifferenceRecipe.new MatchingProgress() {...},2,75,1,13,1,12,1,8,0,2
Basic Features,org.revapi.basic,VersionsTransform.SeverityCheck,0,65,0,2,0,3,0,3,0,2
Basic Features,org.revapi.basic,ClassificationTransform,9,28,1,1,1,9,2,5,1,5
Basic Features,org.revapi.basic,ExactElementMatcher.StringMatch,0,19,0,0,0,6,0,2,0,2
Basic Features,org.revapi.basic,DifferenceMatchRecipe,33,220,4,22,4,45,6,14,2,5
Basic Features,org.revapi.basic,ConfigurableElementFilter.new OverridableIncludeExcludeTreeFilter() {...},8,72,4,8,3,15,4,6,0,4
Basic Features,org.revapi.basic,DifferencesTransform,118,245,19,33,18,50,15,19,2,6
Basic Features,org.revapi.basic,VersionsTransform.VersionRecord,0,18,0,0,0,7,0,1,0,1
Basic Features,org.revapi.basic,MatchingProgress,98,406,20,84,14,73,17,46,3,8
Basic Features,org.revapi.basic,SemverIgnoreTransform,63,346,15,51,11,76,18,30,4,9
Basic Features,org.revapi.basic,ExactElementMatcher,4,12,0,0,3,3,3,3,3,3
Basic Features,org.revapi.basic,VersionsTransform.VersionIncreaseConfig,32,275,9,15,8,44,6,12,0,6
Basic Features,org.revapi.basic,VersionsTransform.IncreaseAllows,61,262,24,58,8,50,22,24,2,3
