GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Basic Features,org.revapi.basic,AbstractDifferenceReferringTransform,18,149,4,14,7,36,6,12,2,7
Basic Features,org.revapi.basic,RegexElementMatcher.new ElementMatcher.CompiledRecipe() {...},0,17,0,0,0,2,0,2,0,2
Basic Features,org.revapi.basic,DifferencesTransform.DifferenceRecipe.new MatchingProgress() {...},2,75,1,13,1,12,1,8,0,2
Basic Features,org.revapi.basic,DifferencesTransform.DifferenceRecipe,14,121,1,5,1,18,1,5,0,3
Basic Features,org.revapi.basic,ClassificationTransform,12,25,1,1,2,8,2,5,1,5
Basic Features,org.revapi.basic,ExactElementMatcher.StringMatch,0,17,0,0,0,5,0,2,0,2
Basic Features,org.revapi.basic,SemverIgnoreTransform.Version,21,89,10,8,2,24,9,3,0,3
Basic Features,org.revapi.basic,ConfigurableElementFilter.new TreeFilter() {...},51,210,13,23,12,43,11,11,0,4
Basic Features,org.revapi.basic,RegexElementMatcher.PatternMatch,0,18,0,0,0,5,0,2,0,2
Basic Features,org.revapi.basic,DifferenceMatchRecipe,33,220,4,22,4,44,6,14,2,5
Basic Features,org.revapi.basic,DifferencesTransform,118,245,19,33,18,50,15,19,2,6
Basic Features,org.revapi.basic,MatchingProgress,119,385,23,81,16,75,22,41,5,6
Basic Features,org.revapi.basic,ConfigurableElementFilter.IncludeExcludeResult,54,35,10,6,11,12,6,4,0,2
Basic Features,org.revapi.basic,IgnoreDifferenceTransform,12,34,1,1,2,10,2,5,1,5
Basic Features,org.revapi.basic,SemverIgnoreTransform,56,341,18,46,11,75,21,25,4,8
Basic Features,org.revapi.basic,ExactElementMatcher,4,12,0,0,3,3,3,3,3,3
Basic Features,org.revapi.basic,AbstractDifferenceReferringTransform.new DifferenceTransform.TraversalTracker() {...},0,64,0,6,0,14,0,7,0,4
Basic Features,org.revapi.basic,ConfigurableElementFilter,30,381,3,45,4,87,5,40,2,19
Basic Features,org.revapi.basic,RegexElementMatcher,7,12,0,0,5,3,3,3,3,3
Basic Features,org.revapi.basic,ExactElementMatcher.new ElementMatcher.CompiledRecipe() {...},0,16,0,0,0,2,0,2,0,2
