GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java Analyzer,org.revapi.java.model,MissingTypeElement.ErrorType,13,16,0,0,5,4,5,4,5,4
Java Analyzer,org.revapi.java.model,MissingTypeElement,57,74,9,3,15,16,16,12,10,12
Java Analyzer,org.revapi.java.model,JavaElementBase,18,237,6,30,5,58,8,30,2,18
Java Analyzer,org.revapi.java.model,JavaElementForest.new ThreadLocal() {...},0,6,0,0,0,2,0,2,0,2
Java Analyzer,org.revapi.java.model,TypeElement.new SimpleElementVisitor8() {...},6,105,3,11,2,23,3,9,0,5
Java Analyzer,org.revapi.java.model,FieldElement,0,26,0,0,0,7,0,6,0,6
Java Analyzer,org.revapi.java.model,AnnotationElement,10,58,0,4,3,14,3,9,3,7
Java Analyzer,org.revapi.java.model,MethodParameterElement,54,85,10,6,11,19,7,9,0,8
Java Analyzer,org.revapi.java.model,MissingClassElement,4,37,0,2,1,9,1,6,1,5
Java Analyzer,org.revapi.java.model,InitializationOptimizations,2,19,1,3,1,6,1,4,0,3
Java Analyzer,org.revapi.java.model,AbstractJavaElement,0,22,0,0,0,7,0,4,0,4
Java Analyzer,org.revapi.java.model,JavaElementForest,54,64,2,4,12,19,4,8,2,7
Java Analyzer,org.revapi.java.model,MissingTypeElement.new NoType() {...},16,3,0,0,5,1,5,1,5,1
Java Analyzer,org.revapi.java.model,MissingTypeElement.NameImpl,61,18,12,0,14,6,10,4,4,4
Java Analyzer,org.revapi.java.model,TypeElement,18,351,5,36,4,78,6,37,1,20
Java Analyzer,org.revapi.java.model,MethodElement,10,37,2,0,1,7,2,6,1,6
Java Analyzer,org.revapi.java.model,PackageElement,12,0,0,0,4,0,3,0,3,0
Java Analyzer,org.revapi.java.model,JavaElementFactory,29,94,6,22,3,24,6,11,0,3
Java Analyzer,org.revapi.java.filters,AbstractIncludeExcludeFilter,297,56,60,2,65,18,41,9,9,9
Java Analyzer,org.revapi.java.filters,ClassFilter,2,47,3,7,0,10,3,7,0,5
Java Analyzer,org.revapi.java.filters,PackageFilter,4,42,3,5,0,9,3,5,0,4
Java Analyzer,org.revapi.java.filters,ClassFilter.new IndependentTreeFilter() {...},2,26,1,1,0,5,1,2,0,2
Java Analyzer,org.revapi.java.filters,PackageFilter.new IndependentTreeFilter() {...},2,22,1,1,1,5,1,2,0,2
Java Analyzer,org.revapi.java.filters,AnnotatedElementFilter,10,5,0,0,3,2,3,1,3,1
Java Analyzer,org.revapi.java.filters,AbstractIncludeExcludeFilter.InclusionState,43,0,2,0,7,0,3,0,2,0
Java Analyzer,org.revapi.java.checks.annotations,Removed,0,49,1,5,0,8,1,5,0,3
Java Analyzer,org.revapi.java.checks.annotations,Added,0,49,2,4,0,8,2,4,0,3
Java Analyzer,org.revapi.java.checks.annotations,AttributeValueChanged,0,279,1,17,0,44,1,11,0,3
Java Analyzer,org.revapi.java.checks.methods,MethodMovedInHierarchy,0,13,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,ExceptionsThrownChanged.1.new SimpleElementVisitor7() {...},0,8,0,0,0,2,0,2,0,2
Java Analyzer,org.revapi.java.checks.methods,Removed,0,42,0,8,0,10,0,8,0,4
Java Analyzer,org.revapi.java.checks.methods,Added,14,167,2,20,2,32,2,14,0,5
Java Analyzer,org.revapi.java.checks.methods,NumberOfParametersChanged,10,63,5,11,0,15,5,8,0,5
Java Analyzer,org.revapi.java.checks.methods,Added.new SimpleElementVisitor7() {...},4,6,0,0,2,1,2,1,2,1
Java Analyzer,org.revapi.java.checks.methods,NoLongerDefault,10,106,6,18,0,19,6,11,0,5
Java Analyzer,org.revapi.java.checks.methods,VisibilityReduced,0,13,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,NoLongerStatic,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,NowDefault,10,106,5,19,0,19,5,12,0,5
Java Analyzer,org.revapi.java.checks.methods,NowFinal,40,70,1,3,4,13,1,5,0,4
Java Analyzer,org.revapi.java.checks.methods,ExceptionsThrownChanged,5,385,4,48,3,75,4,32,0,10
Java Analyzer,org.revapi.java.checks.methods,NoLongerFinal,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,NoLongerAbstract,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,ExceptionsThrownChanged.new SimpleTypeVisitor7() {...},0,13,0,0,0,2,0,2,0,2
Java Analyzer,org.revapi.java.checks.methods,ParameterTypeChanged,0,168,2,18,0,28,2,13,0,5
Java Analyzer,org.revapi.java.checks.methods,NowAbstract,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,DefaultValueChanged,0,192,0,24,0,29,0,16,0,4
Java Analyzer,org.revapi.java.checks.methods,NowStatic,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,VisibilityIncreased,0,13,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.methods,ReturnTypeChanged,20,178,10,21,2,39,10,13,0,7
Java Analyzer,org.revapi.java.checks.fields,Removed,0,56,0,12,0,11,0,10,0,4
Java Analyzer,org.revapi.java.checks.fields,TypeChanged,0,88,0,6,0,18,0,7,0,4
Java Analyzer,org.revapi.java.checks.fields,NowConstant,0,61,0,8,0,14,0,8,0,4
Java Analyzer,org.revapi.java.checks.fields,FieldMovedInHierarchy,0,13,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.fields,NowFinal,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.fields,EnumConstantsOrderChanged,0,157,1,19,0,27,1,16,0,7
Java Analyzer,org.revapi.java.checks.fields,NoLongerStatic,0,14,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.fields,VisibilityReduced,0,13,0,0,0,5,0,3,0,3
Java Analyzer,org.revapi.java.checks.fields,NoLongerConstant,0,61,0,8,0,14,0,8,0,4
