GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin,org.revapi.maven,Props.expandProperties,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.useBuildConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,MavenArchive.Empty,0,10,0,0,0,3,0,2,0,2
Maven Plugin,org.revapi.maven,AbstractVersionModifyingMojo,197,725,20,62,34,166,22,33,3,10
Maven Plugin,org.revapi.maven,MavenArchive,43,94,5,9,6,21,7,9,2,7
Maven Plugin,org.revapi.maven,Props.disallowedExtensionsInVersioning,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.convertPomXml,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.checkDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportAggregateMojo,79,584,34,42,18,126,33,26,1,20
Maven Plugin,org.revapi.maven,XmlSuggestionsBuilder,66,0,2,0,18,0,11,0,10,0
Maven Plugin,org.revapi.maven,Props.analysisConfiguration,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failCriticality,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,AbstractSuggestionsBuilder,13,163,5,17,3,36,5,8,0,2
Maven Plugin,org.revapi.maven,Props.resolveProvidedDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failBuildOnProblemsFound,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.versionFormat,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ConfigurationFile,27,24,0,0,2,10,1,7,1,7
Maven Plugin,org.revapi.maven,HelpMojo,893,0,110,0,159,0,71,0,16,0
Maven Plugin,org.revapi.maven,Props.preserveNewerVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.failOnMissingConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.forceVersionUpdate,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Analyzer.MarkerException,4,5,0,0,2,2,1,1,1,1
Maven Plugin,org.revapi.maven,Props.disallowedExtensions,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.promotedDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.oldArtifacts,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,FailSeverity,9,53,3,2,3,5,3,3,0,2
Maven Plugin,org.revapi.maven,Props.failSeverity,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,PropertyValueResolver.new AbstractValueSource() {...},12,10,2,0,3,1,2,1,1,1
Maven Plugin,org.revapi.maven,PropertyValueResolver.new AbstractValueSource() {...},10,10,2,0,3,1,2,1,1,1
Maven Plugin,org.revapi.maven,Analyzer,229,711,29,49,36,148,24,34,1,18
Maven Plugin,org.revapi.maven,Props.oldVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ConvertToXmlConfigMojo.SilentReporter,1,5,0,0,1,2,1,2,1,2
Maven Plugin,org.revapi.maven,ReportForkMojo,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.ignoreSuggestionsFormat,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.skip,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,UpdateReleasePropertiesMojo,148,0,4,0,33,0,8,0,6,0
Maven Plugin,org.revapi.maven,BuildTimeReporter.SuggestionBuilderContext,0,15,0,0,0,3,0,3,0,3
Maven Plugin,org.revapi.maven,Props.convertAnalysisConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter.ConversionContext,2,53,2,4,1,13,2,4,0,3
Maven Plugin,org.revapi.maven,Props.newVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ReportTimeReporter.DifferenceReport,0,12,0,0,0,5,0,1,0,1
Maven Plugin,org.revapi.maven,Props.ignoreSuggestionsFile,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,ApiChangeLevel,0,34,0,0,0,2,0,1,0,1
Maven Plugin,org.revapi.maven,Props.newPromotedDependencies,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.alwaysCheckForReleaseVersion,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.reportSeverity,3,0,0,0,1,0,1,0,1,0
Maven Plugin,org.revapi.maven,Props.oldPromotedDependencies,3,0,0,0,1,0,1,0,1,0
