GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API,org.revapi.query,FilteringIterator,79,0,16,0,24,0,12,0,4,0
API,org.revapi.query,Filter.new Filter() {...},13,0,0,0,3,0,3,0,3,0
API,org.revapi.query,Filter.new Filter() {...},13,0,0,0,3,0,3,0,3,0
API,org.revapi.query,DFSFilteringIterator,168,0,42,0,47,0,25,0,4,0
API,org.revapi.query,Filter,10,0,0,0,2,0,2,0,2,0
API,org.revapi.base,BaseElementMatcher,4,0,0,0,2,0,2,0,2,0
API,org.revapi.base,BaseDifferenceTransform,4,0,0,0,2,0,2,0,2,0
API,org.revapi.base,BaseElementForest,206,20,36,2,38,7,24,4,6,3
API,org.revapi.base,BaseArchiveAnalyzer,40,103,6,8,8,24,5,12,1,9
API,org.revapi.base,BaseElement,41,45,0,2,13,15,7,9,7,8
API,org.revapi.base,BaseApiAnalyzer,1,5,0,0,1,2,1,2,1,2
API,org.revapi.base,CollectingReporter,17,0,0,0,5,0,3,0,3,0
API,org.revapi.base,InputStreamArchive,3,14,0,0,1,5,1,2,1,2
API,org.revapi.base,BaseConfigurable,2,4,0,0,1,2,1,2,1,2
API,org.revapi.base,BaseDifferenceAnalyzer,8,5,4,0,1,3,3,3,1,3
API,org.revapi.base,BaseElement.ParentPreservingSet,165,55,22,2,38,14,25,7,13,7
API,org.revapi.base,FileArchive,19,0,0,0,6,0,4,0,4,0
API,org.revapi.base,BaseReporter,0,4,0,0,0,2,0,2,0,2
API,org.revapi.base,BaseEagerLoadingArchiveAnalyzer,24,56,5,3,4,14,3,5,0,4
API,org.revapi.base,BaseElement.ParentPreservingSet.ParentPreservingIterator,20,13,2,0,6,4,3,2,2,2
API,org.revapi.base,BaseEagerLoadingArchiveAnalyzer.FullForestContext,6,59,1,3,1,12,1,4,0,3
API,org.revapi.base,BaseTreeFilterProvider,6,0,0,0,3,0,3,0,3,0
API,org.revapi.base,IndependentTreeFilter,0,29,0,0,0,6,0,3,0,3
API,org.revapi.base,ZipArchiveAnalyzer,29,83,0,10,5,21,0,9,0,4
API,org.revapi.base,BaseTreeFilter,4,5,0,0,2,2,2,2,2,2
API,org.revapi,AnalysisContext,72,174,1,3,12,39,8,13,7,12
API,org.revapi,DifferenceTransform.new DifferenceTransform.TraversalTracker() {...},0,6,0,0,0,1,0,1,0,1
API,org.revapi,DifferenceSeverity,22,44,7,0,8,5,6,1,1,1
API,org.revapi,API.Builder,54,51,2,2,13,11,8,6,7,5
API,org.revapi,ElementFilter,6,0,0,0,1,0,1,0,1,0
API,org.revapi,PipelineConfiguration,47,276,2,4,8,81,6,27,4,26
API,org.revapi,TreeFilter,4,9,0,0,1,2,1,2,1,2
API,org.revapi,FilterStartResult,411,134,72,6,76,27,60,9,17,8
API,org.revapi,ElementFilter.new IndependentTreeFilter() {...},23,0,0,0,5,0,2,0,2,0
API,org.revapi,Stats,60,36,6,2,9,9,6,3,2,3
API,org.revapi,ReportComparator.Builder,48,0,0,0,11,0,5,0,5,0
API,org.revapi,AnalysisContext.Builder,160,653,17,52,34,126,22,37,7,17
API,org.revapi,CompatibilityType,0,44,0,0,0,5,0,1,0,1
API,org.revapi,ElementPair,67,0,12,0,15,0,11,0,5,0
API,org.revapi,AnalysisResult.Extensions,25,118,3,1,4,24,5,12,3,12
API,org.revapi,AnalysisResult.ExtensionInstance,33,39,9,1,8,10,6,5,1,5
API,org.revapi,Revapi.new TreeFilterProvider() {...},72,27,2,0,17,6,8,2,7,2
API,org.revapi,ReportComparator,170,18,21,0,39,4,17,1,6,1
API,org.revapi,ElementForest.new ElementForest() {...},13,0,0,0,4,0,4,0,4,0
API,org.revapi,Difference.InReportBuilder,0,36,0,0,0,6,0,2,0,2
API,org.revapi,FilterMatch,167,43,32,2,30,7,28,3,6,2
API,org.revapi,CorrespondenceComparatorDeducer,0,12,0,0,0,5,0,2,0,2
API,org.revapi,DifferenceTransform,2,25,0,4,1,8,1,5,1,3
API,org.revapi,TransformationResult,2,48,0,0,1,13,1,8,1,8
API,org.revapi,API,90,39,13,3,23,11,12,5,4,5
API,org.revapi,Stats.Collector,111,0,2,0,17,0,8,0,7,0
API,org.revapi,Stats.DummyCollector,1,16,0,0,1,7,1,7,1,7
API,org.revapi,ElementForest,101,0,10,0,21,0,11,0,6,0
API,org.revapi,ReportComparator.Strategy,24,0,0,0,3,0,1,0,1,0
API,org.revapi,Revapi,254,1201,45,96,34,291,41,60,2,27
API,org.revapi,NaturalOrderComparator,0,8,0,0,0,2,0,2,0,2
API,org.revapi,Archive.Role,0,34,0,0,0,2,0,1,0,1
API,org.revapi,Difference.BuilderBase,12,90,0,0,4,25,2,12,2,12
API,org.revapi,CoIterator,0,153,0,28,0,37,0,21,0,7
API,org.revapi,DifferenceTransform.TraversalTracker,0,4,0,0,0,3,0,3,0,3
API,org.revapi,TransformationResult.Resolution,0,44,0,0,0,2,0,1,0,1
API,org.revapi,Revapi.Builder,127,48,0,0,38,13,19,7,19,7
API,org.revapi,PipelineConfiguration.Builder,539,536,66,56,113,105,72,44,30,25
API,org.revapi,Revapi.AnalysisProgress,54,150,4,10,4,32,5,7,1,4
API,org.revapi,Report,116,43,18,2,20,12,12,6,3,5
API,org.revapi,ServiceTypeLoader,205,0,12,0,46,0,12,0,6,0
API,org.revapi,Element,42,0,2,0,8,0,5,0,4,0
API,org.revapi,Report.Builder,0,33,0,0,0,8,0,5,0,5
API,org.revapi,FilterFinishResult,316,76,50,4,64,17,44,8,13,7
API,org.revapi,Criticality,60,103,10,0,10,22,9,6,4,6
API,org.revapi,Difference,135,132,6,12,18,31,12,7,6,4
API,org.revapi,Difference.Builder,0,24,0,0,0,3,0,2,0,2
API,org.revapi,AnalysisResult,48,79,2,4,10,24,6,7,4,6
API,org.revapi,Stats.Tuple2,26,0,0,0,5,0,2,0,2,0
API,org.revapi,TreeFilter.new TreeFilter() {...},0,9,0,0,0,4,0,4,0,4
API,org.revapi,TreeFilter.new TreeFilter() {...},13,42,0,0,2,7,3,4,3,4
API,org.revapi.simple,SimpleElementFilter,7,0,0,0,3,0,3,0,3,0
API,org.revapi.simple,SimpleReporter,4,0,0,0,2,0,2,0,2,0
API,org.revapi.simple,SimpleDifferenceTransform,8,0,0,0,3,0,3,0,3,0
API,org.revapi.simple,SimpleElement.ParentPreservingSet.ParentPreservingIterator,33,0,2,0,10,0,5,0,4,0
API,org.revapi.simple,SimpleElementForest,268,0,48,0,55,0,35,0,11,0
API,org.revapi.simple,SimpleElement.EmptyIterator,10,0,0,0,3,0,3,0,3,0
API,org.revapi.simple,SimpleElement,143,0,20,0,32,0,21,0,11,0
API,org.revapi.simple,SimpleConfigurable,7,0,0,0,4,0,4,0,4,0
API,org.revapi.simple,SimpleElement.ParentPreservingSet,204,0,26,0,51,0,33,0,20,0
API,org.revapi.configuration,JSONUtil,504,122,73,15,120,24,48,16,6,8
API,org.revapi.configuration,XmlToJson.JSONPointer,197,0,20,0,46,0,16,0,6,0
API,org.revapi.configuration,ReaderInputStream,260,0,36,0,62,0,30,0,12,0
API,org.revapi.configuration,JSONUtil.new Reader() {...},8,180,3,39,4,63,3,27,0,4
API,org.revapi.configuration,JSONUtil.State,0,74,0,0,0,2,0,1,0,1
API,org.revapi.configuration,ConfigurationValidator,57,180,13,19,14,40,14,9,2,5
API,org.revapi.configuration,XmlToJson,238,592,19,62,46,130,23,45,8,17
API,org.revapi.configuration,ValidationResult.Error,38,70,10,0,10,15,6,3,1,3
API,org.revapi.configuration,ValidationResult,103,148,26,16,16,28,22,11,3,9
API,org.revapi.configuration,ConfigurationException,23,0,0,0,10,0,5,0,5,0
